,quit,n_prac,s_final,prac_final
4400,0,3529,0.8817716886604947,1000.0
4401,0,3434,0.8413989283667948,1000.0
4402,0,3494,0.8745926354034409,1000.0
4403,0,3510,0.7768436616354246,1000.0
4404,1,15,0.0040908734993875175,29.761022505812935
4405,1,2,0.002314585369908536,8.824530663914945
4406,0,3534,0.8705934007072539,1000.0
4407,1,29,0.0014967901712575466,54.03724470129531
4408,0,3556,0.8591298041153963,1000.0
4409,0,3540,0.7785767594247164,1000.0
4410,0,3515,0.8126133430096643,1000.0
4411,0,3537,0.8217417394151068,1000.0
4412,0,3530,0.7308011978415161,1000.0
4413,0,3524,0.8879658297096029,1000.0
4414,1,10,0.005628318065662756,28.427204875072803
4415,0,3508,0.8798252057152188,1000.0
4416,0,3444,0.7758763569689537,1000.0
4417,0,3513,0.8921332532612225,1000.0
4418,0,3588,0.8797677130807173,1000.0
4419,0,3520,0.8702048161032521,1000.0
4420,0,3536,0.8454661108745601,1000.0
4421,0,3532,0.7700055302013075,1000.0
4422,0,3527,0.6813299045533844,1000.0
4423,1,21,0.003132261406855727,46.373849481192444
4424,0,3437,0.7462042614014889,1000.0
4425,0,3510,0.8817467391949236,1000.0
4426,0,3539,0.8094409208387353,1000.0
4427,0,3541,0.8903503881773461,1000.0
4428,0,3534,0.8643277092941228,1000.0
4429,1,17,0.0040280721652825365,40.47472600321499
4430,0,3535,0.7830302278872351,1000.0
4431,0,3498,0.8288299313970197,1000.0
4432,0,3515,0.8310025393986008,1000.0
4433,0,3606,0.8660202452803997,1000.0
4434,0,3486,0.8003517472050359,1000.0
4435,0,3502,0.8693693505666241,1000.0
4436,1,18,0.0022281153456061202,41.93168545180078
4437,0,3477,0.7286604529697812,1000.0
4438,0,3495,0.8665773738362308,1000.0
4439,0,3530,0.7625310742672606,1000.0
4440,0,3588,0.8217879760854983,1000.0
4441,0,3526,0.7255970353595687,1000.0
4442,0,3489,0.6649699163340584,1000.0
4443,1,7,0.005101236116815773,12.99392734072092
4444,1,17,0.004326085106035892,39.80611368962201
4445,0,3509,0.8704315166231716,1000.0
4446,0,3485,0.8048983544511231,1000.0
4447,0,3528,0.7851438154140142,1000.0
