prac_times,skill_levels,time_lags
0.0,0.3,
17.694744965992854,0.012168043653393319,5.580651611168186
23.27539657716104,0.005573457909543529,0.4956650931166422
23.771061670277682,0.007056235685089489,11.420706735519623
35.191768405797305,0.0010060554898340646,4.270541103822531
39.462309509619836,0.000599462944596748,11.458030409334953
50.92033991895479,8.484983101080264e-05,4.142123799563144
55.06246371851793,5.1879301156989336e-05,0.20000000000000284
55.262463718517935,6.978212471414757e-05,25.765556171465462
81.0280198899834,5.648126312797198e-07,0.7101060204111462
81.73812591039454,6.860461795732083e-07,5.898576555769708
87.63670246616425,2.952143810523546e-07,2.034486561472818
89.67118902763707,2.7513906919874387e-07,0.993494538961599
90.66468356659867,3.1578131737612794e-07,0.7575880618430233
91.42227162844169,3.799366343539831e-07,5.531902218592947
96.95417384703464,1.759317690665e-07,1.810978126153799
98.76515197318844,1.714639122922323e-07,
100.0,1.3394151040536828e-07,
