,quit,n_prac,s_final,prac_final
0,0,13289,0.6038082190765398,3000
1,0,13374,0.8765564955417381,3000
2,0,13634,0.885806429484686,3000
3,0,13424,0.9095810552075985,3000
4,0,13286,0.7981905584026842,3000
5,0,13407,0.7947147740292391,3000
6,0,13372,0.7859110496321704,3000
7,0,13321,0.8333545848960506,3000
8,0,13151,0.8331723335152429,3000
9,0,13270,0.7141681306357439,3000
10,0,13316,0.8557715239267446,3000
11,0,13180,0.8399566198019344,3000
12,0,13261,0.7001805453725994,3000
13,0,13383,0.7237312371149599,3000
14,0,13233,0.8537753999211052,3000
15,0,13306,0.7318042136382223,3000
16,0,13279,0.8813273876440022,3000
17,0,13568,0.6526771264120713,3000
18,0,13544,0.8727472401482096,3000
19,0,13116,0.8210722015930654,3000
20,0,13311,0.7561951374995178,3000
21,0,13382,0.654995226662558,3000
22,0,13222,0.7369245053195784,3000
23,0,13234,0.7872911089246586,3000
24,0,13292,0.6976478745487644,3000
25,0,13278,0.6438608681289575,3000
26,0,13137,0.6674801764123324,3000
27,0,13548,0.7723190214673933,3000
28,0,13537,0.8705076813437895,3000
29,0,13081,0.7205340968738789,3000
30,0,13335,0.8630458980992385,3000
31,0,13416,0.8246598259131931,3000
32,0,13423,0.8463291074375268,3000
33,0,13164,0.8004870149127679,3000
34,0,13081,0.7769561120304826,3000
35,0,13251,0.7783538106893979,3000
36,0,13432,0.7854806677235695,3000
37,0,13303,0.7934514571304709,3000
38,0,13054,0.8053464783471528,3000
39,0,13523,0.7594754448784272,3000
40,0,13462,0.77933680065046,3000
41,0,13309,0.723797488403743,3000
42,0,13498,0.77815568732803,3000
43,0,13252,0.871896980038012,3000
44,0,13309,0.7184109775358629,3000
45,0,13496,0.8153598190228796,3000
46,0,13342,0.8597955308371186,3000
47,0,13421,0.8464532895143447,3000
48,0,13317,0.620160161279757,3000
49,0,13488,0.7227050686948465,3000
50,0,13353,0.810770356996294,3000
51,0,13281,0.6815963417770142,3000
52,0,13276,0.8269872603560684,3000
53,0,13391,0.8298136125749862,3000
54,0,13526,0.7582730413833629,3000
55,0,13426,0.8086262168390708,3000
56,0,13469,0.7598625985519543,3000
57,0,13331,0.8497443742379118,3000
58,0,13660,0.8052224168123769,3000
59,0,13222,0.8410422083387206,3000
60,0,13362,0.7986224690779623,3000
61,0,13305,0.837762371178613,3000
62,0,13286,0.856534820218271,3000
63,0,13617,0.806672338329713,3000
64,0,13279,0.8302186062248105,3000
65,0,13214,0.835568441784353,3000
66,0,13341,0.7836091119362875,3000
67,0,13239,0.792818120015491,3000
68,0,13345,0.8656258245850997,3000
69,0,13442,0.8011952357401645,3000
70,0,13530,0.6812950261921435,3000
71,0,13447,0.7955123657408133,3000
72,0,13152,0.8257642928557072,3000
73,0,13348,0.7592389401954577,3000
74,0,13326,0.7594340974779324,3000
75,0,13432,0.8199840252588035,3000
76,0,13387,0.7750278524556189,3000
77,0,13473,0.7377056285829852,3000
78,0,13312,0.6753028743378268,3000
79,0,13445,0.8113480220293029,3000
80,0,13489,0.7549301728314309,3000
81,0,13518,0.7328853722105204,3000
82,0,13373,0.7245387973595997,3000
83,0,13369,0.7929859884472678,3000
84,0,13470,0.791015223186783,3000
85,0,13486,0.8255934933884025,3000
86,0,13511,0.8589662504767612,3000
87,0,13450,0.8190955050226402,3000
88,0,13414,0.6838974658316463,3000
89,0,13360,0.8241836777415977,3000
90,0,13167,0.8054035158319989,3000
91,0,13449,0.835928572820032,3000
92,0,13325,0.8649898457487896,3000
93,0,13486,0.716556823299923,3000
94,0,13272,0.7624498784248325,3000
95,0,13355,0.8415215911176122,3000
96,0,13254,0.7573674241175541,3000
97,0,13283,0.778901654190015,3000
98,0,13344,0.7521910227366613,3000
99,0,13502,0.7475760311720813,3000
100,0,13502,0.7752753233969644,3000
101,0,13382,0.7599369221384586,3000
102,0,13360,0.7676065331271387,3000
103,0,13398,0.8314771334007398,3000
104,0,13433,0.7991184734201043,3000
105,0,13356,0.8857791902874613,3000
106,0,13245,0.7028525461464188,3000
107,0,13326,0.7650618599307462,3000
