"time_yr","haz_rate","month"
0,0.995466489346595,"July 2016"
0.0413926940639269,0.944508171921276,"July 2016"
0.0827853881278539,0.901238185469591,"July 2016"
0.124178082191781,0.861514576168882,"July 2016"
0.165570776255708,0.82577682150394,"July 2016"
0.206963470319635,0.791991337605311,"July 2016"
0.248356164383562,0.76025922308417,"July 2016"
0.289748858447489,0.729582661995009,"July 2016"
0.331141552511416,0.699711880015814,"July 2016"
0.372534246575342,0.670227210896613,"July 2016"
0.413926940639269,0.64097055363535,"July 2016"
0.455319634703196,0.611816398192855,"July 2016"
0.496712328767123,0.582731875963459,"July 2016"
0.53810502283105,0.553726995193391,"July 2016"
0.579497716894977,0.524839836067237,"July 2016"
0.620890410958904,0.496128008268057,"July 2016"
0.662283105022831,0.46769078358732,"July 2016"
0.703675799086758,0.439628637006834,"July 2016"
0.745068493150685,0.41205410968543,"July 2016"
0.786461187214612,0.385014775090599,"July 2016"
0.827853881278539,0.358623139404131,"July 2016"
0.869246575342466,0.332849636439001,"July 2016"
0.910639269406393,0.307806741106951,"July 2016"
0.95203196347032,0.283233951252894,"July 2016"
0.993424657534247,0.259381499408826,"July 2016"
1.03481735159817,0.23588888778652,"July 2016"
1.0762100456621,0.213146513615503,"July 2016"
1.11760273972603,0.190448125308183,"July 2016"
1.15899543378995,0.172822428619377,"July 2016"
1.20038812785388,0.16069687080112,"July 2016"
1.24178082191781,0.151211665995474,"July 2016"
1.28317351598174,0.143424420660286,"July 2016"
1.32456621004566,0.137074389408951,"July 2016"
1.36595890410959,0.131978603840625,"July 2016"
1.40735159817352,0.12805775454192,"July 2016"
1.44874429223744,0.124288705235185,"July 2016"
1.49013698630137,0.121191803795748,"July 2016"
1.5315296803653,0.118715466159091,"July 2016"
1.57292237442922,0.116100645840445,"July 2016"
1.61431506849315,0.113558133009221,"July 2016"
1.65570776255708,0.110741610999106,"July 2016"
1.697100456621,0.10791473602377,"July 2016"
1.73849315068493,0.105323589360392,"July 2016"
1.77988584474886,0.103049474260958,"July 2016"
1.82127853881279,0.10093342729292,"July 2016"
1.86267123287671,0.0995035283094075,"July 2016"
1.90406392694064,0.098431472400186,"July 2016"
1.94545662100457,0.0978774136285091,"July 2016"
1.98684931506849,0.097140213236184,"July 2016"
2.02824200913242,0.0963044686646246,"July 2016"
2.06963470319635,0.0955353088588749,"July 2016"
2.11102739726027,0.0949198673271169,"July 2016"
2.1524200913242,0.0944528957920937,"July 2016"
2.19381278538813,0.0940835087697183,"July 2016"
2.23520547945205,0.0936917737478814,"July 2016"
2.27659817351598,0.0929906915694152,"July 2016"
2.31799086757991,0.0920804679175378,"July 2016"
2.35938356164384,0.0911978592844853,"July 2016"
2.40077625570776,0.0905761826045823,"July 2016"
2.44216894977169,0.0898900347458602,"July 2016"
2.48356164383562,0.0892775774650413,"July 2016"
2.52495433789954,0.0891219765846477,"July 2016"
2.56634703196347,0.088785214872146,"July 2016"
2.6077397260274,0.0886148426253632,"July 2016"
2.64913242009132,0.0888426995046443,"July 2016"
2.69052511415525,0.089159867265502,"July 2016"
2.73191780821918,0.089372249292456,"July 2016"
2.7733105022831,0.0897715442330122,"July 2016"
2.81470319634703,0.0901639242213276,"July 2016"
2.85609589041096,0.0904367952090407,"July 2016"
2.89748858447489,0.090527807703804,"July 2016"
2.93888127853881,0.0907965701024268,"July 2016"
2.98027397260274,0.091339183686097,"July 2016"
3.02166666666667,0.0919829673351053,"July 2016"
3.06305936073059,0.092837257113652,"July 2016"
3.10445205479452,0.0940620011856055,"July 2016"
3.14584474885845,0.0952421401730056,"July 2016"
3.18723744292237,0.0964208731929803,"July 2016"
3.2286301369863,0.0976243504979607,"July 2016"
3.27002283105023,0.0989500039066934,"July 2016"
3.31141552511416,0.100213337157105,"July 2016"
3.35280821917808,0.101177775103637,"July 2016"
3.39420091324201,0.101958831720678,"July 2016"
3.43559360730594,0.102681727845741,"July 2016"
3.47698630136986,0.103336858734022,"July 2016"
3.51837899543379,0.104037924445515,"July 2016"
3.55977168949772,0.104630076194728,"July 2016"
3.60116438356164,0.105098832068596,"July 2016"
3.64255707762557,0.105586344218401,"July 2016"
3.6839497716895,0.106056519047417,"July 2016"
3.72534246575342,0.106540877916983,"July 2016"
3.76673515981735,0.106953021713494,"July 2016"
3.80812785388128,0.10746245802344,"July 2016"
3.84952054794521,0.107999217113545,"July 2016"
3.89091324200913,0.108577352240363,"July 2016"
3.93230593607306,0.109177822023369,"July 2016"
3.97369863013699,0.109747673703128,"July 2016"
4.01509132420091,0.110365420829047,"July 2016"
4.05648401826484,0.111006555360197,"July 2016"
4.09787671232877,0.111662176299414,"July 2016"
4.13926940639269,0.112303096256516,"July 2016"
4.18066210045662,0.112906705685322,"July 2016"
4.22205479452055,0.113434258826807,"July 2016"
4.26344748858448,0.113927843014538,"July 2016"
4.3048401826484,0.114404427958521,"July 2016"
4.34623287671233,0.114913829137233,"July 2016"
4.38762557077626,0.115417424070219,"July 2016"
4.42901826484018,0.11593403078694,"July 2016"
4.47041095890411,0.116402161905547,"July 2016"
4.51180365296804,0.116896785050304,"July 2016"
4.55319634703196,0.117334200961139,"July 2016"
4.59458904109589,0.117910627673451,"July 2016"
4.63598173515982,0.11845657150337,"July 2016"
4.67737442922374,0.119048852389477,"July 2016"
4.71876712328767,0.119768849019811,"July 2016"
4.7601598173516,0.120674951717882,"July 2016"
4.80155251141553,0.121728677524875,"July 2016"
4.84294520547945,0.122852354107739,"July 2016"
4.88433789954338,0.123976502026545,"July 2016"
4.92573059360731,0.12526198964015,"July 2016"
