"time","haz_rate"
0,0.00177886227618043
5,0.00246682502247946
10,0.00312634201145899
15,0.00362394371145374
20,0.00392419952220575
25,0.00402183203401233
30,0.00399852140186224
35,0.00397003176825109
40,0.0039322250393126
45,0.00386083895017446
50,0.00382289512131519
55,0.0037665676062463
60,0.00369350155173996
65,0.00363246358812653
70,0.00358771771564797
75,0.00354807469340453
80,0.00350560857349545
85,0.0034702282965701
90,0.00344057281571756
95,0.00340610269764512
100,0.00337598133922017
105,0.003339602995598
110,0.00331044797797209
115,0.00327993565454657
120,0.00325533870891172
125,0.0032393003665144
130,0.00322345742596679
135,0.00320569942343557
140,0.0031831250229761
145,0.00315504540994693
150,0.00312479557403992
155,0.00309645013535488
160,0.00307471075240104
165,0.00305793973204393
170,0.00305043588748967
175,0.00305225488900012
180,0.00305282200293871
185,0.00305148395817148
190,0.0030485972288926
195,0.00304134673381797
200,0.00303576821078721
205,0.00303466603086863
210,0.00303507370979156
215,0.00303569329933572
220,0.00303837043747835
225,0.00303494742518624
230,0.003025241457307
235,0.00301871777906327
240,0.00301446760364112
245,0.00300805510086117
250,0.00299402572624151
255,0.00298036192769959
260,0.00297521741375757
265,0.00297278540392666
270,0.00296950499584106
275,0.00296471435248597
280,0.00295840361190017
285,0.00295030193608688
290,0.0029405778627374
295,0.00292941143909038
300,0.00291776449999142
305,0.00290668265188759
310,0.00289786970570341
315,0.0028904513387178
320,0.00288385880404032
325,0.00288019785210064
330,0.0028760441871665
335,0.00287467836212287
340,0.00286826763866173
345,0.00286051142803179
350,0.00285542056675721
355,0.00284691827882725
360,0.00284157311493713
365,0.0028309541733544
370,0.00281657299664673
375,0.00279468588424888
380,0.00276426361952022
385,0.00273848491507497
390,0.00272352059616813
395,0.00270185577183525
400,0.00267822418187399
405,0.00267173670847934
410,0.00266183939525733
415,0.00264826804280085
420,0.00264495821832171
425,0.00265168152503593
430,0.00266469311967323
435,0.00268153507310819
440,0.00270217327975705
445,0.0027260425985719
450,0.00275367296081933
455,0.00278516470381799
460,0.00282129270587533
465,0.00286125636366214
470,0.00290442237659058
475,0.00294833177344929
480,0.00299236251403621
485,0.00303466645689284
490,0.00306962604410996
495,0.00308852785139367
500,0.00306946424477648
