"username","total_count","earliest","latest","career_length","play_freq","percent_rapid","percent_Blitz","percent_bullet","percent_classic","percent_puzzle"
"Yusa_734",1,2016-08-08,2016-08-08,1,1,0,0,0,1,0
"aNo2mass",13,2016-08-08,2016-08-24,17,0.764705882352941,0,0,0,1,0
"alealex",48,2016-08-08,2016-11-20,105,0.457142857142857,0,1,0,0.333333333333333,0
"alexnapo",9,2016-08-08,2017-03-03,208,0.0432692307692308,0,1,0,0.222222222222222,0
"arashbpr",791,2016-08-08,2021-09-20,1870,0.422994652406417,0.254108723135272,0.533501896333755,0.0670037926675095,0.376738305941846,0.0164348925410872
"asersante",5,2016-08-08,2016-09-03,27,0.185185185185185,0,0.6,0.2,0.4,0
"atakisianil131",1,2016-08-08,2016-08-08,1,1,0,1,0,0,0
"balkazerty35",1,2016-08-08,2016-08-08,1,1,0,0,1,0,0
"batuhansusgun",1,2016-08-08,2016-08-08,1,1,0,0,0,1,0
"bebabacha00",118,2016-08-08,2020-03-16,1317,0.0895975702353835,0.847457627118644,0.0169491525423729,0.0254237288135593,0.161016949152542,0
"benfischer",1,2016-08-08,2016-08-08,1,1,0,0,1,0,0
"bibamax",45,2016-08-08,2019-07-06,1063,0.0423330197554092,0,0,0,0.644444444444444,0.0222222222222222
"brandissimo",1,2016-08-08,2016-08-08,1,1,0,0,0,1,0
"bubakbubakov",11,2016-08-08,2021-04-13,1710,0.0064327485380117,0,0.181818181818182,0.272727272727273,0.545454545454545,0.0909090909090909
"cdogwin",12,2016-08-08,2016-08-27,20,0.6,0,0.5,0.25,0.916666666666667,0
"coffeybean19",82,2016-08-08,2021-08-09,1828,0.0448577680525164,0,0.207317073170732,0,0.0487804878048781,0.853658536585366
"cucabeludo",1,2016-08-08,2016-08-08,1,1,0,0,0,1,0
"curnow",8,2016-08-08,2021-06-20,1778,0.00449943757030371,0,1,0,0,0
"da13cudiii",10,2016-08-08,2016-11-13,98,0.102040816326531,0,0.4,0.2,1,0
"darkrev2229",8,2016-08-08,2016-08-16,9,0.888888888888889,0,1,0.25,0.375,0
"dddddjjjjjjjjxxccc",68,2016-08-08,2022-06-03,2126,0.0319849482596425,0.455882352941176,0,0,0.235294117647059,0.5
