"username","total_count","earliest","latest","career_length","play_freq","percent_rapid","percent_Blitz","percent_bullet","percent_classic","percent_puzzle"
"JojoNedich",494,2018-07-02,2024-10-11,2294,0.215344376634699,0.305668016194332,0.279352226720648,0.00202429149797571,0.0445344129554656,0.593117408906883
"Kriskilll",837,2018-07-02,2024-10-09,2292,0.365183246073298,0,0.917562724014337,0,0,0.118279569892473
"Lolorenzo",573,2018-07-02,2020-10-20,842,0.680522565320665,0.0471204188481675,0.952879581151832,0.443280977312391,0.0366492146596859,0
"MattThomme",1,2018-07-02,2018-07-02,1,1,0,0,1,0,0
"MatthewSalcedo",65,2018-07-02,2024-11-04,2318,0.0280414150129422,0.138461538461538,0.507692307692308,0.507692307692308,0,0.307692307692308
"Misaki_is_love",3,2018-07-02,2018-07-05,4,0.75,0,0.333333333333333,0,0,0
"MohammadSadeghZaeri",9,2018-07-02,2019-02-11,225,0.04,0,0.111111111111111,0.888888888888889,0,0
"MrChexpert",6,2018-07-02,2019-04-24,297,0.0202020202020202,0,0.333333333333333,0.333333333333333,0,0.166666666666667
"MrMonkeyMario",2,2018-07-02,2018-07-25,24,0.0833333333333333,0,1,0,0.5,0
"Nurrdan",2,2018-07-02,2018-07-06,5,0.4,0,0,0,0,0
"OusadoViana",1,2018-07-02,2018-07-02,1,1,1,0,0,0,0
"Pedrobranco11",1319,2018-07-02,2024-11-04,2318,0.569025021570319,0.064442759666414,0.959059893858984,0,0.00530705079605762,0
"SAI1CHARAN",2,2018-07-02,2018-07-11,10,0.2,0,0.5,1,0,0
"Seeyoulateraligator",1,2018-07-02,2018-07-02,1,1,0,0,1,0,0
"TheChessPolyglot",2,2018-07-02,2018-07-04,3,0.666666666666667,1,1,0,0,0
"Ultimat3Destruction",1,2018-07-02,2018-07-02,1,1,1,0,0,0,0
"Zidak123",1,2018-07-02,2018-07-02,1,1,0,0,0,1,0
