"username","total_count","earliest","latest","career_length","play_freq","percent_rapid","percent_Blitz","percent_bullet","percent_classic","percent_puzzle"
"BestbyPractice",182,2016-07-01,2024-05-03,2864,0.0635474860335195,0.104395604395604,0.818681318681319,0,0.208791208791209,0
"DogeArmyYT",2,2016-07-01,2016-07-02,2,1,0,1,0,0.5,0
"Doovd",176,2016-07-01,2024-01-03,2743,0.0641633248268319,0.25,0.130681818181818,0.0397727272727273,0.596590909090909,0.267045454545455
"GnosticPopsicle",49,2016-07-01,2021-05-22,1787,0.0274202574146614,0.204081632653061,0,0,0.775510204081633,0.0204081632653061
"HighFriction",1,2016-07-01,2016-07-01,1,1,0,1,0,0,0
"HudsonLine",84,2016-07-01,2020-07-10,1471,0.0571040108769545,0,1,0.0833333333333333,0,0
"J0n4s",121,2016-07-01,2016-11-08,131,0.923664122137405,0,0.305785123966942,0.00826446280991736,0.975206611570248,0
"JizztopherNolan",504,2016-07-01,2024-06-07,2899,0.17385305277682,0.591269841269841,0.109126984126984,0.00793650793650794,0.0773809523809524,0.275793650793651
"KCoffey",8,2016-07-01,2016-07-13,13,0.615384615384615,0,0.5,0.375,0.25,0
"Laeton",28,2016-07-01,2024-02-05,2776,0.0100864553314121,0.142857142857143,0.107142857142857,0.178571428571429,0.75,0
"LewisMon",3,2016-07-01,2016-07-07,7,0.428571428571429,0,1,0,0.333333333333333,0
"ManceraRicardo98",122,2016-07-01,2018-11-20,873,0.139747995418099,0.00819672131147541,0.180327868852459,0.508196721311475,0.639344262295082,0
"MarinaG",3,2016-07-01,2016-07-03,3,1,0,0,0,1,0
"MyFirstRodeo",1,2016-07-01,2016-07-01,1,1,0,1,0,0,0
"Napierest",23,2016-07-01,2018-09-02,794,0.0289672544080605,0.347826086956522,0.347826086956522,0,0.391304347826087,0
"Nnikel",41,2016-07-01,2017-04-14,288,0.142361111111111,0,0.731707317073171,0,0.536585365853659,0
"PoroHu2",1,2016-07-01,2016-07-01,1,1,0,1,0,1,0
"Reborn44",1,2016-07-01,2016-07-01,1,1,0,1,0,0,0
"Santroxx",7,2016-07-01,2016-07-15,15,0.466666666666667,0,0.285714285714286,0,1,0
"SuryaKanthaRao",1316,2016-07-01,2024-10-10,3024,0.435185185185185,0.531155015197568,0.642857142857143,0.00303951367781155,0.165653495440729,0.0531914893617021
"TORYV",1,2016-07-01,2016-07-01,1,1,0,0,0,1,0
"TheRacingKing",25,2016-07-01,2016-10-02,94,0.265957446808511,0,0,0.04,0,0
"VANY11A",3,2016-07-01,2016-08-12,43,0.0697674418604651,0,0,0,1,0
"ajacian81",1343,2016-07-01,2023-09-28,2646,0.50755857898715,0.00223380491437081,0.102755026061057,0.696947133283693,0.0387192851824274,0.000744601638123604
"alancorintiano10",318,2016-07-01,2017-06-17,352,0.903409090909091,0,0.00314465408805031,0.00314465408805031,1,0
"alwinrobot",2,2016-07-01,2016-07-06,6,0.333333333333333,0,0,0,1,0
"bbbear",1,2016-07-01,2016-07-01,1,1,0,0,0,0,0
"chesser890",1,2016-07-01,2016-07-01,1,1,0,0,0,1,0
"chevroletburns",570,2016-07-01,2024-09-21,3005,0.189683860232945,0,0.375438596491228,0.701754385964912,0.00175438596491228,0.0596491228070175
"chlen74",5,2016-07-01,2016-09-04,66,0.0757575757575758,0,0.8,0,1,0
"davidorac",22,2016-07-01,2017-04-27,301,0.0730897009966777,0,0.0909090909090909,0.0909090909090909,0.5,0
"dkzio",2,2016-07-01,2016-07-06,6,0.333333333333333,0,0.5,1,0.5,0
"enesincan",3,2016-07-01,2016-07-08,8,0.375,0,0.333333333333333,0,0,0
"eroenelvento",1602,2016-07-01,2024-09-30,3014,0.531519575315196,0.0368289637952559,0.401997503121099,0.471910112359551,0.108614232209738,0.000624219725343321
"ezechyel",73,2016-07-01,2024-09-01,2985,0.0244556113902848,0.753424657534247,0.10958904109589,0,0.0958904109589041,0.10958904109589
"fidel77",1487,2016-07-01,2024-10-10,3024,0.491732804232804,0.0161398789509079,0.577000672494956,0.72763954270343,0.00806993947545393,0.0181573638197714
"hurricane2016",2,2016-07-01,2016-07-02,2,1,0,0,0.5,0.5,0
"javedkhan1428",7,2016-07-01,2016-07-12,12,0.583333333333333,0,0,0,1,0
"jpp2204",1,2016-07-01,2016-07-01,1,1,0,0,0,1,0
"juniortadeu",7,2016-07-01,2016-07-12,12,0.583333333333333,0,0,0,1,0
